date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:49	27994/27994	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://www.gstatic.com/firebasejs/7.17.2/firebase-analytics.js	/home/tejakavali/Documents/My%20Projects/Ecet%20website/www.gstatic.com/firebasejs/7.17.2/firebase-analytics.js	(from https://ecetsolutions.in/mockstart.html)
20:45:49	818941/818941	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://www.gstatic.com/firebasejs/7.17.2/firebase.js	/home/tejakavali/Documents/My%20Projects/Ecet%20website/www.gstatic.com/firebasejs/7.17.2/firebase.js	(from https://ecetsolutions.in/mockstart.html)
20:45:49	173418/173418	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://www.gstatic.com/firebasejs/7.17.2/firebase-auth.js	/home/tejakavali/Documents/My%20Projects/Ecet%20website/www.gstatic.com/firebasejs/7.17.2/firebase-auth.js	(from https://ecetsolutions.in/mockstart.html)
20:45:49	2541/2541	---M--	200	added ('OK')	image/png	etag:%22vfa%22	https://3.bp.blogspot.com/-GZOBULN1Q4s/VbNxQrf37EI/AAAAAAAAAPk/rak337seJ70/s1600/Ask.png	/home/tejakavali/Documents/My%20Projects/Ecet%20website/3.bp.blogspot.com/-GZOBULN1Q4s/VbNxQrf37EI/AAAAAAAAAPk/rak337seJ70/s1600/Ask.png	(from https://ecetsolutions.in/css/navbar2.css)
20:45:50	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/pdf	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/syllabus/TS/cse.pdf	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/syllabus/TS/cse.pdf	(from https://ecetsolutions.in/syllabus.html)
20:45:50	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/pdf	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/syllabus/TS/civil.pdf	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/syllabus/TS/civil.pdf	(from https://ecetsolutions.in/syllabus.html)
20:45:50	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/pdf	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/syllabus/TS/ece.pdf	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/syllabus/TS/ece.pdf	(from https://ecetsolutions.in/syllabus.html)
20:45:50	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/pdf	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/syllabus/TS/eee.pdf	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/syllabus/TS/eee.pdf	(from https://ecetsolutions.in/syllabus.html)
20:45:50	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/pdf	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/syllabus/TS/mech.pdf	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/syllabus/TS/mech.pdf	(from https://ecetsolutions.in/syllabus.html)
20:45:50	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/pdf	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/syllabus/AP/MATHEMATICS%20(FOR%20DIPLOMA%20HOLDERS).pdf	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/syllabus/AP/MATHEMATICS%20(FOR%20DIPLOMA%20HOLDERS).pdf	(from https://ecetsolutions.in/syllabus.html)
